filename, T, r, c, g, a, t, avg, avg_ref, tp, tn, fp, fn, bacc, acc, precision, tp_rate/recall, fn_rate/miss rate, fp_rate/fall-out, tn_rate/specificity
2days_1sec_flow-based.tsv,-3.0,3,3,5,05,1,mean,mean,878,173302,388,172812,0.501410559042,0.501410559042,0.693522906793,0.00505498301572,0.994945016984,0.00223386493178,0.997766135068
2days_1sec_flow-based.tsv,-3.0,4,4,5,05,1,mean,mean,865,173312,376,172823,0.501407696559,0.501407696559,0.697018533441,0.00498019437152,0.995019805628,0.00216480125282,0.997835198747
2days_1sec_flow-based.tsv,-3.0,5,5,5,05,1,mean,mean,894,173365,321,172792,0.501649528459,0.501649528459,0.735802469136,0.00514721969531,0.994852780305,0.0018481627765,0.998151837223
2days_1sec_flow-based.tsv,-3.5,1,1,5,05,1,mean,mean,611,173232,462,173083,0.500428915219,0.500428915219,0.569431500466,0.00351768051861,0.996482319481,0.00265985008118,0.997340149919
2days_1sec_flow-based.tsv,-3.5,2,2,5,05,1,mean,mean,646,173298,394,173046,0.500725422011,0.500725422011,0.621153846154,0.00371922713769,0.996280772862,0.00226838311494,0.997731616885
2days_1sec_flow-based.tsv,-3.5,3,3,5,05,1,mean,mean,599,173370,320,173091,0.500803155046,0.500803155046,0.651795429815,0.00344867292302,0.996551327077,0.00184236283033,0.99815763717
2days_1sec_flow-based.tsv,-3.5,4,4,5,05,1,mean,mean,595,173423,265,173093,0.500949979273,0.500949979273,0.691860465116,0.00342568283359,0.996574317166,0.00152572428723,0.998474275713
2days_1sec_flow-based.tsv,-3.5,5,5,5,05,1,mean,mean,557,173449,237,173129,0.50092120263,0.50092120263,0.701511335013,0.0032069366558,0.996793063344,0.00136453139574,0.998635468604
2days_1sec_flow-based.tsv,-0.5,1,1,10,05,1,mean,mean,172756,167715,5974,933,0.980116760417,0.980116760417,0.96657528115,0.994628329946,0.00537167005395,0.0343948091128,0.965605190887
2days_1sec_flow-based.tsv,-0.5,2,2,10,05,1,mean,mean,172665,169555,4132,1022,0.985162965564,0.985162965564,0.976628562702,0.994115852079,0.00588414792126,0.0237899209498,0.97621007905
2days_1sec_flow-based.tsv,-0.5,3,3,10,05,1,mean,mean,172608,169880,3805,1077,0.985945821458,0.985945821458,0.978431294746,0.993799119095,0.00620088090509,0.0219074761781,0.978092523822
2days_1sec_flow-based.tsv,-0.5,4,4,10,05,1,mean,mean,172546,169823,3860,1137,0.985614596708,0.985614596708,0.978118658096,0.993453590737,0.00654640926285,0.0222243973216,0.977775602678
2days_1sec_flow-based.tsv,-0.5,5,5,10,05,1,mean,mean,172554,169716,3965,1127,0.985340941151,0.985340941151,0.977537828789,0.993511092175,0.00648890782527,0.0228292098733,0.977170790127
2days_1sec_flow-based.tsv,-1.0,1,1,10,05,1,mean,mean,171399,172298,1391,2290,0.989403474025,0.989403474025,0.991949765611,0.986815515087,0.0131844849127,0.00800856703648,0.991991432964
2days_1sec_flow-based.tsv,-1.0,2,2,10,05,1,mean,mean,171719,172213,1474,1968,0.99009137126,0.99009137126,0.991489263423,0.988669272887,0.0113307271126,0.00848653036785,0.991513469632
2days_1sec_flow-based.tsv,-1.0,3,3,10,05,1,mean,mean,171659,172111,1574,2026,0.989636410744,0.989636410744,0.990913971356,0.988335204537,0.0116647954631,0.00906238304977,0.99093761695
2days_1sec_flow-based.tsv,-1.0,4,4,10,05,1,mean,mean,171606,172017,1666,2077,0.989224621869,0.989224621869,0.990385059329,0.988041431804,0.0119585681961,0.00959218806677,0.990407811933
2days_1sec_flow-based.tsv,-1.0,5,5,10,05,1,mean,mean,171507,171904,1777,2174,0.988625698839,0.988625698839,0.989745158237,0.987482798924,0.0125172010755,0.0102314012471,0.989768598753
2days_1sec_flow-based.tsv,-1.5,1,1,10,05,1,mean,mean,148735,172804,885,24954,0.925617051166,0.925617051166,0.994085015372,0.856329416371,0.143670583629,0.00509531403831,0.994904685962
2days_1sec_flow-based.tsv,-1.5,2,2,10,05,1,mean,mean,151883,172699,988,21804,0.93438772044,0.93438772044,0.993537034493,0.874463834369,0.125536165631,0.00568839348944,0.994311606511
2days_1sec_flow-based.tsv,-1.5,3,3,10,05,1,mean,mean,153094,172645,1040,20591,0.937729222443,0.937729222443,0.99325262434,0.881446296456,0.118553703544,0.00598785157037,0.99401214843
2days_1sec_flow-based.tsv,-1.5,4,4,10,05,1,mean,mean,153565,172585,1098,20118,0.938923210677,0.938923210677,0.992900693766,0.884168283597,0.115831716403,0.00632186224328,0.993678137757
2days_1sec_flow-based.tsv,-1.5,5,5,10,05,1,mean,mean,153885,172657,1024,19796,0.940062528429,0.940062528429,0.993389667482,0.886020923417,0.113979076583,0.00589586655996,0.99410413344
2days_1sec_flow-based.tsv,-2.0,1,1,10,05,1,mean,mean,56340,172951,738,117349,0.660061949807,0.660061949807,0.987070324819,0.324372873354,0.675627126646,0.00424897374042,0.99575102626
2days_1sec_flow-based.tsv,-2.0,2,2,10,05,1,mean,mean,54020,172912,775,119667,0.653278598859,0.653278598859,0.985856373757,0.311019247267,0.688980752733,0.0044620495489,0.995537950451
2days_1sec_flow-based.tsv,-2.0,3,3,10,05,1,mean,mean,53061,172870,815,120624,0.650404467858,0.650404467858,0.984872670577,0.30550133863,0.69449866137,0.00469240291332,0.995307597087
2days_1sec_flow-based.tsv,-2.0,4,4,10,05,1,mean,mean,52747,172990,693,120936,0.649853468676,0.649853468676,0.987032185629,0.303696965161,0.696303034839,0.00399002780928,0.996009972191
2days_1sec_flow-based.tsv,-2.0,5,5,10,05,1,mean,mean,52597,173024,657,121084,0.649527006408,0.649527006408,0.987662898562,0.302836810014,0.697163189986,0.00378279719716,0.996217202803
2days_1sec_flow-based.tsv,-2.5,1,1,10,05,1,mean,mean,3074,173045,644,170615,0.506995261646,0.506995261646,0.826788596019,0.0176982998348,0.982301700165,0.00370777654313,0.996292223457
2days_1sec_flow-based.tsv,-2.5,2,2,10,05,1,mean,mean,2461,173031,656,171226,0.505196128668,0.505196128668,0.789541225537,0.014169166374,0.985830833626,0.00377690903752,0.996223090962
