filename,T,r,c,g,a,t,avg,avg_ref,tp,tn,fp,fn,bacc,acc,precision,tp_rate/recall,fn_rate/missrate,fp_rate/fall-out,tn_rate/specificity,mcc
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,2,2,5,05,1,mean,mean,2669,15820,258,13409,0.574978231123,0.574978231123,0.911855141783,0.166003234233,0.833996765767,0.0160467719866,0.983953228013,0.2606626886352442,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,2,2,5,05,1,mean,mean,577,15944,134,15501,0.513776589128,0.513776589128,0.811533052039,0.0358875482025,0.964112451797,0.00833436994651,0.991665630053,0.09368997570372711,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,2,2,5,05,1,mean,mean,212,16018,60,15866,0.504726956089,0.504726956089,0.779411764706,0.0131857196169,0.986814280383,0.00373180743874,0.996268192561,0.051614620166042485,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,2,2,5,05,1,mean,mean,108,16064,14,15970,0.50292324916,0.50292324916,0.885245901639,0.00671725338973,0.99328274661,0.000870755069038,0.999129244931,0.047549105641887156,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,2,2,5,05,1,mean,mean,44,16074,4,16034,0.501243935813,0.501243935813,0.916666666667,0.00273665878841,0.997263341212,0.000248787162582,0.999751212837,0.032220534865060414,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,2,2,10,05,1,mean,mean,13033,14946,1127,3040,0.870372674672,0.870372674672,0.92040960452,0.810862937846,0.189137062154,0.0701175885025,0.929882411498,0.7460483204553032,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,2,2,10,05,1,mean,mean,3037,15823,250,13036,0.58669818951,0.58669818951,0.923942804989,0.188950413737,0.811049586263,0.0155540347166,0.984445965283,0.2861517970077327,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,2,2,10,05,1,mean,mean,615,15957,116,15458,0.515522926647,0.515522926647,0.841313269494,0.0382629254028,0.961737074597,0.0072170721085,0.992782927891,0.10412939020592987,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,2,2,10,05,1,mean,mean,201,16018,55,15872,0.504541778137,0.504541778137,0.78515625,0.0125054439122,0.987494556088,0.00342188763765,0.996578112362,0.051098201374966845,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,2,2,10,05,1,mean,mean,97,16063,10,15976,0.502706402041,0.502706402041,0.906542056075,0.00603496547004,0.99396503453,0.000622161388664,0.999377838611,0.04698810034719365,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,2,2,10,05,1,mean,mean,30,16070,3,16043,0.500839917875,0.500839917875,0.909090909091,0.00186648416599,0.998133515834,0.000186648416599,0.999813351583,0.026228071237259128,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,2,2,60,05,1,mean,mean,12447,14697,1326,3576,0.847032390938,0.847032390938,0.903724678719,0.776820820071,0.223179179929,0.0827560381951,0.917243961805,0.701010688617841,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,2,2,60,05,1,mean,mean,3671,15714,309,12352,0.604911689446,0.604911689446,0.922361809045,0.229108157024,0.770891842976,0.0192847781314,0.980715221869,0.3181016432772945,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,2,2,60,05,1,mean,mean,734,15886,137,15289,0.518629470137,0.518629470137,0.842709529277,0.0458091493478,0.954190850652,0.00855020907446,0.991449790926,0.11456765463505171,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,2,2,60,05,1,mean,mean,235,15966,57,15788,0.505554515384,0.505554515384,0.804794520548,0.0146664170255,0.985333582974,0.00355738625726,0.996442613743,0.05845603526841153,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,2,2,60,05,1,mean,mean,110,16008,15,15913,0.502964488548,0.502964488548,0.88,0.00686513137365,0.993134868626,0.000936154278225,0.999063845722,0.04755874159864478,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,2,2,60,05,1,mean,mean,36,16015,8,15987,0.500873743993,0.500873743993,0.818181818182,0.00224677026774,0.997753229732,0.00049928228172,0.999500717718,0.023596257814678015,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,2,2,300,05,1,mean,mean,11561,14020,1763,4222,0.810397262878,0.810397262878,0.867682377664,0.732496990433,0.267503009567,0.111702464677,0.888297535323,0.6284690534995383,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,2,2,300,05,1,mean,mean,4508,15449,334,11275,0.632230881328,0.632230881328,0.93102023957,0.285623772413,0.714376227587,0.0211620097573,0.978837990243,0.36693515363416834,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,2,2,300,05,1,mean,mean,967,15651,132,14816,0.526452512197,0.526452512197,0.879890809827,0.0612684533992,0.938731546601,0.00836342900589,0.991636570994,0.14430214374173062,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,2,2,300,05,1,mean,mean,245,15727,56,15538,0.505987454856,0.505987454856,0.813953488372,0.0155230311094,0.984476968891,0.00354812139644,0.996451878604,0.06160973487057092,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,2,2,300,05,1,mean,mean,109,15768,15,15674,0.502977887601,0.502977887601,0.879032258065,0.00690616486093,0.993093835139,0.00095038965976,0.99904961034,0.047606025986220026,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,2,2,300,05,1,mean,mean,42,15780,3,15741,0.501235506558,0.501235506558,0.933333333333,0.00266109104733,0.997338908953,0.000190077931952,0.999809922068,0.03274600747692387,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,3,3,5,05,1,mean,mean,13239,15208,868,2837,0.884766110973,0.884766110973,0.93847026299,0.823525752675,0.176474247325,0.053993530729,0.946006469271,0.775370065898271,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,3,3,5,05,1,mean,mean,2676,15847,229,13400,0.576107240607,0.576107240607,0.921170395869,0.166459318238,0.833540681762,0.0142448370241,0.985755162976,0.26547292713766696,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,3,3,5,05,1,mean,mean,487,16016,60,15589,0.513280666833,0.513280666833,0.890310786106,0.0302936053745,0.969706394626,0.00373227170938,0.996267728291,0.1026966588754078,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,3,3,5,05,1,mean,mean,160,16064,12,15916,0.504603135108,0.504603135108,0.93023255814,0.00995272455835,0.990047275442,0.000746454341876,0.999253545658,0.06310419954559982,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,3,3,5,05,1,mean,mean,29,16072,4,16047,0.500777556606,0.500777556606,0.878787878788,0.0018039313262,0.998196068674,0.000248818113959,0.999751181886,0.024282982732639315,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,3,3,5,05,1,mean,mean,10,16074,2,16066,0.500248818114,0.500248818114,0.833333333333,0.000622045284897,0.999377954715,0.000124409056979,0.999875590943,0.012881796311394444,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,3,3,10,05,1,mean,mean,12952,15102,969,3119,0.872814386161,0.872814386161,0.930392931542,0.805923713521,0.194076286479,0.0602949411984,0.939705058802,0.7523921201700238,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,3,3,10,05,1,mean,mean,3025,15863,208,13046,0.587642337129,0.587642337129,0.935663470461,0.188227241615,0.811772758385,0.0129425673574,0.987057432643,0.2913851803796135,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,3,3,10,05,1,mean,mean,528,16030,41,15543,0.515151515152,0.515151515152,0.927943760984,0.0328542094456,0.967145790554,0.00255117914255,0.997448820857,0.11489864397728337,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,3,3,10,05,1,mean,mean,153,16059,12,15918,0.504386783648,0.504386783648,0.927272727273,0.00952025387344,0.990479746127,0.000746686578309,0.999253313422,0.06138443772202707,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,3,3,10,05,1,mean,mean,25,16069,2,16046,0.500715574638,0.500715574638,0.925925925926,0.00155559703814,0.998444402962,0.000124447763051,0.999875552237,0.024699717765314825,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,3,3,10,05,1,mean,mean,9,16070,1,16062,0.500248895526,0.500248895526,0.9,0.000560014933732,0.999439985066,6.22238815258e-05,0.999937776118,0.014113057398904666,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,3,3,60,05,1,mean,mean,12489,14877,1144,3532,0.854066537669,0.854066537669,0.916085967872,0.779539354597,0.220460645403,0.0714062792585,0.928593720742,0.7161329953303237,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,3,3,60,05,1,mean,mean,3636,15737,284,12385,0.604612695837,0.604612695837,0.927551020408,0.226952125335,0.773047874665,0.0177267336621,0.982273266338,0.31925512263204486,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,3,3,60,05,1,mean,mean,654,15961,60,15367,0.518538168654,0.518538168654,0.915966386555,0.0408214218838,0.959178578116,0.00374508457649,0.996254915424,0.1255946106793845,
